YEAR,START_MONTH,START_DAY,END_MONTH,END_DAY,LENGTH,START_DOY,END_DOY
2023,06,04,06,11,8,155,162
2022,06,03,06,10,8,154,161
2021,06,01,06,08,8,152,159
2020,05,30,06,04,6,151,158
2019,05,30,06,06,8,150,157
2018,06,07,06,14,8,158,165
2017,05,30,06,06,8,150,157
2016,05,31,06,07,8,152,159
2015,06,02,06,09,8,153,160
2014,06,04,06,11,8,156,163
2005,06,08,06,16,9,159,167
2004,05,31,06,05,6,152,157
2003,05,28,06,09,13,148,160
2002,05,30,06,04,6,150,155
2001,06,04,06,13,10,155,164
2000,06,01,06,09,9,153,161
1999,06,07,06,10,4,158,161
1998,06,02,06,12,11,153,163
1997,06,12,06,22,11,163,173
1996,06,05,06,14,10,157,166
1995,06,03,06,07,5,154,158
1994,06,09,06,14,6,160,165
1993,06,11,06,20,10,162,171